,subj_idx,movie,movie_arousal,movie_valence
142,6,imageHH14,2.0,5.0
143,6,imageLL13,3.0,1.0
144,6,imageHL10,1.0,3.0
145,6,imageLH5,5.0,2.0
146,6,imageHH2,3.0,5.0
147,6,imageHL13,5.0,5.0
148,6,imageLH4,5.0,1.0
188,6,imageLH13,5.0,1.0
189,6,imageHH3,4.0,2.0
190,6,imageHL2,2.0,4.0
191,6,imageLL11,4.0,3.0
192,6,imageHL6,2.0,2.0
193,6,imageLH10,3.0,1.0
194,6,imageLL6,3.0,1.0
195,6,imageHH8,5.0,3.0
235,6,imageHH11,5.0,4.0
236,6,imageLL9,5.0,1.0
237,6,imageHL1,4.0,3.0
238,6,imageLH6,5.0,3.0
239,6,imageLL1,5.0,1.0
240,6,imageHH5,2.0,2.0
241,6,imageHL5,3.0,2.0
242,6,imageLH1,5.0,1.0
282,6,imageLH9,5.0,1.0
283,6,imageHL14,3.0,5.0
284,6,imageLL10,3.0,2.0
285,6,imageHH7,1.0,3.0
286,6,imageHH12,5.0,1.0
287,6,imageHL8,1.0,5.0
288,6,imageLH8,5.0,1.0
289,6,imageLL7,5.0,1.0
0,7,imageLL8,4.0,4.0
1,7,imageLL7,4.0,2.0
2,7,imageHL2,3.0,3.0
3,7,imageLH11,2.0,2.0
4,7,imageHL11,3.0,3.0
5,7,imageHH3,3.0,2.0
6,7,imageHH2,4.0,4.0
7,7,imageLH1,4.0,1.0
47,7,imageHH9,4.0,4.0
48,7,imageHL1,3.0,3.0
49,7,imageLL6,3.0,1.0
50,7,imageLH5,5.0,2.0
51,7,imageHH12,5.0,4.0
52,7,imageLH7,4.0,1.0
53,7,imageHL10,3.0,4.0
54,7,imageLL13,3.0,2.0
94,7,imageHL14,4.0,4.0
95,7,imageHH6,4.0,2.0
96,7,imageHH4,4.0,4.0
97,7,imageLH9,4.0,1.0
98,7,imageHL5,3.0,2.0
99,7,imageLH4,5.0,1.0
100,7,imageLL11,4.0,2.0
101,7,imageLL12,4.0,1.0
141,7,imageHL7,3.0,4.0
142,7,imageLH14,4.0,1.0
143,7,imageLL5,5.0,1.0
144,7,imageHL3,4.0,5.0
145,7,imageHH8,5.0,5.0
