,subj_idx,stim,rt,response,group,arousal,valence
10716,3,1V1A,1.5422,0,group1,2,3
10717,3,1V1A,3.1762,1,group1,2,3
10718,3,1V1A,3.5152,0,group1,2,3
10719,3,1V1A,1.463,0,group1,2,3
10720,3,1V1A,4.709,1,group1,2,3
10721,3,1V1A,2.0061,1,group1,3,3
10722,3,1V1A,1.8624,1,group1,3,3
10723,3,1V1A,1.3448,1,group1,3,3
10724,3,1V1A,0.5368,1,group1,3,3
14253,3,1Vne1A,3.2352,0,group1,5,4
14254,3,1Vne1A,2.2846,0,group1,5,4
14255,3,1Vne1A,1.8531,0,group1,5,4
14256,3,1Vne1A,4.9997,0,group1,5,4
14257,3,1Vne1A,1.3293,0,group1,4,4
14258,3,1Vne1A,1.201,0,group1,4,4
14259,3,1Vne1A,2.4882,0,group1,4,4
14260,3,1Vne1A,1.3247,0,group1,4,4
14261,3,1Vne1A,2.8928,0,group1,2,3
14262,3,1Vne1A,3.4351,1,group1,2,3
14263,3,1Vne1A,3.0744,1,group1,2,3
14264,3,1Vne1A,1.8744,0,group1,2,3
14265,3,1Vne1A,4.6396,0,group1,4,3
14266,3,1Vne1A,3.5997,1,group1,4,3
14267,3,1Vne1A,2.4485,0,group1,4,3
14268,3,1Vne1A,1.9382,1,group1,4,3
14269,3,1Vne1A,2.0142,0,group1,2,3
14270,3,1Vne1A,2.0034,0,group1,2,3
14271,3,1Vne1A,1.5133,0,group1,2,3
14272,3,1Vne1A,1.4868,0,group1,2,3
14273,3,1Vne1A,2.2202,1,group1,2,3
14274,3,1Vne1A,2.7583,1,group1,2,3
14275,3,1Vne1A,3.851,0,group1,2,3
14276,3,1Vne1A,1.2951,1,group1,2,3
14277,3,1Vne1A,2.0458,1,group1,3,3
14278,3,1Vne1A,1.4894,1,group1,3,3
14279,3,1Vne1A,1.9901,1,group1,3,3
14280,3,1Vne1A,1.5089,1,group1,3,3
57,8,0V0A,2.0747,0,group2,3,4
58,8,0V0A,2.6458,0,group2,3,4
59,8,0V0A,2.377,1,group2,3,4
60,8,0V0A,1.2596,1,group2,3,4
61,8,0V0A,1.703,0,group2,2,5
62,8,0V0A,1.4419,1,group2,2,5
63,8,0V0A,0.9945,1,group2,2,5
64,8,0V0A,1.4237,0,group2,2,5
65,8,0V0A,1.4605,0,group2,1,3
66,8,0V0A,0.86,0,group2,1,3
67,8,0V0A,1.4079,1,group2,1,3
68,8,0V0A,3.6534,0,group2,1,3
69,8,0V0A,4.1417,1,group2,1,3
70,8,0V0A,1.299,1,group2,1,3
71,8,0V0A,2.2308,0,group2,1,3
72,8,0V0A,0.9153,1,group2,1,3
73,8,0V0A,0.9918,1,group2,2,3
74,8,0V0A,1.391,1,group2,2,3
75,8,0V0A,1.7071,0,group2,2,3
76,8,0V0A,1.6031,1,group2,2,3
77,8,0V0A,2.5939,0,group2,3,4
78,8,0V0A,1.4402,0,group2,3,4
79,8,0V0A,4.1866,1,group2,3,4
80,8,0V0A,1.8701,0,group2,3,4
81,8,0V0A,0.9358,0,group2,2,4
